url,has_section,has_data,error
https://fyers.co.in/stocks/nitin-castings-ltd,True,True,
https://fyers.co.in/stocks/transoceanic-properties-ltd,True,True,
https://fyers.co.in/stocks/hb-leasing-finance-co-ltd,True,True,
https://fyers.co.in/stocks/shricon-industries-ltd,True,True,
https://fyers.co.in/stocks/thakral-services-india-ltd,True,True,
https://fyers.co.in/stocks/frontier-capital-ltd,True,True,
https://fyers.co.in/stocks/photon-capital-advisors-ltd,False,False,404 Client Error: Not Found for url: https://fyers.co.in/stocks/photon-capital-advisors-ltd
https://fyers.co.in/stocks/triliance-polymers-ltd,True,True,
https://fyers.co.in/stocks/vjtf-eduservices-ltd,True,True,
https://fyers.co.in/stocks/voltaire-leasing-finance-ltd,True,True,
https://fyers.co.in/stocks/netlink-solutions-india-ltd,True,True,
https://fyers.co.in/stocks/indian-infotech-software-ltd,True,True,
https://fyers.co.in/stocks/sanathnagar-enterprises-ltd,True,True,
https://fyers.co.in/stocks/banas-finance-ltd,True,True,
https://fyers.co.in/stocks/mm-rubber-company-ltd,True,True,
https://fyers.co.in/stocks/indag-rubber-ltd,True,True,
https://fyers.co.in/stocks/benares-hotels-ltd,True,True,
https://fyers.co.in/stocks/hindustan-housing-co-ltd,True,True,
https://fyers.co.in/stocks/cravatex-ltd,True,True,
https://fyers.co.in/stocks/bombay-oxygen-investments-ltd,True,True,
https://fyers.co.in/stocks/caprihans-india-ltd,True,True,
https://fyers.co.in/stocks/shah-construction-co-ltd,True,True,
https://fyers.co.in/stocks/garware-marine-industries-ltd,True,True,
https://fyers.co.in/stocks/empire-industries-ltd,True,True,
https://fyers.co.in/stocks/r-j-shah-co-ltd,True,True,
https://fyers.co.in/stocks/the-ravalgaon-sugar-farm-ltd,True,True,
https://fyers.co.in/stocks/sinnar-bidi-udyog-ltd,True,True,
https://fyers.co.in/stocks/kesar-enterprises-ltd,True,True,
https://fyers.co.in/stocks/emerald-leisures-ltd,True,True,
https://fyers.co.in/stocks/premier-synthetics-ltd,True,True,
https://fyers.co.in/stocks/technojet-consultants-ltd,True,True,
https://fyers.co.in/stocks/quadrant-televentures-ltd,False,False,404 Client Error: Not Found for url: https://fyers.co.in/stocks/quadrant-televentures-ltd
https://fyers.co.in/stocks/u-p-hotels-ltd,True,True,
https://fyers.co.in/stocks/easy-fincorp-ltd,True,True,
https://fyers.co.in/stocks/hindoostan-mills-ltd,True,True,
https://fyers.co.in/stocks/tivoli-construction-ltd,True,True,
https://fyers.co.in/stocks/premier-capital-services-ltd,True,True,
https://fyers.co.in/stocks/swasti-vinayaka-synthetics-ltd,True,True,
https://fyers.co.in/stocks/rajvi-logitrade-ltd,True,True,
https://fyers.co.in/stocks/sakthi-finance-ltd,True,True,
https://fyers.co.in/stocks/yamini-investments-company-ltd,True,True,
https://fyers.co.in/stocks/jmd-ventures-ltd,True,True,
https://fyers.co.in/stocks/sagar-systech-ltd,True,True,
https://fyers.co.in/stocks/parshwanath-corporation-ltd,True,True,
https://fyers.co.in/stocks/kamanwala-housing-construction-ltd,True,True,
https://fyers.co.in/stocks/bombay-talkies-ltd,True,True,
https://fyers.co.in/stocks/anjani-foods-ltd,True,True,
https://fyers.co.in/stocks/iconik-sports-and-events-ltd,True,True,
https://fyers.co.in/stocks/wsfx-global-pay-ltd,True,True,
https://fyers.co.in/stocks/ad-manum-finance-ltd,True,True,
https://fyers.co.in/stocks/gujarat-credit-corporation-ltd,True,True,
https://fyers.co.in/stocks/india-cements-capital-ltd,True,True,
https://fyers.co.in/stocks/munoth-communication-ltd,True,True,
https://fyers.co.in/stocks/mehta-integrated-finance-ltd,True,True,
https://fyers.co.in/stocks/shrydus-industries-ltd,True,True,
https://fyers.co.in/stocks/dharani-finance-ltd,True,True,
https://fyers.co.in/stocks/inter-globe-finance-ltd,True,True,
https://fyers.co.in/stocks/ushakiran-finance-ltd,True,True,
https://fyers.co.in/stocks/alexander-stamps-and-coin-ltd,True,True,
https://fyers.co.in/stocks/gsb-finance-ltd,True,False,
https://fyers.co.in/stocks/crest-ventures-ltd,True,True,
https://fyers.co.in/stocks/nda-securities-ltd,True,True,
https://fyers.co.in/stocks/sahara-housingfina-corporation-ltd,True,True,
https://fyers.co.in/stocks/supra-trends-ltd,True,True,
https://fyers.co.in/stocks/veerhealth-care-ltd,True,True,
https://fyers.co.in/stocks/vivo-bio-tech-ltd,True,True,
https://fyers.co.in/stocks/pan-india-corporation-ltd,True,True,
https://fyers.co.in/stocks/djs-stock-shares-ltd,True,True,
https://fyers.co.in/stocks/sanchay-finvest-ltd,True,True,
https://fyers.co.in/stocks/pro-fin-capital-services-ltd,True,True,
https://fyers.co.in/stocks/libord-finance-ltd,True,True,
https://fyers.co.in/stocks/morarka-finance-ltd,True,True,
https://fyers.co.in/stocks/omega-interactive-technologies-ltd,True,True,
https://fyers.co.in/stocks/rr-financial-consultants-ltd,True,True,
https://fyers.co.in/stocks/isl-consulting-ltd,True,True,
https://fyers.co.in/stocks/befound-movement-ltd,True,True,
https://fyers.co.in/stocks/pasupati-fincap-ltd,False,False,404 Client Error: Not Found for url: https://fyers.co.in/stocks/pasupati-fincap-ltd
https://fyers.co.in/stocks/bgil-films-technologies-ltd,True,True,
https://fyers.co.in/stocks/nettlinx-ltd,True,True,
https://fyers.co.in/stocks/standard-capital-markets-ltd,True,True,
https://fyers.co.in/stocks/chartered-capital-investment-ltd,True,True,
https://fyers.co.in/stocks/ruparel-food-products-ltd,True,True,
https://fyers.co.in/stocks/ajcon-global-services-ltd,True,True,
https://fyers.co.in/stocks/yogi-ltd,True,True,
https://fyers.co.in/stocks/relic-technologies-ltd,True,True,
https://fyers.co.in/stocks/n-d-metal-industries-ltd,False,False,404 Client Error: Not Found for url: https://fyers.co.in/stocks/n-d-metal-industries-ltd
https://fyers.co.in/stocks/k-z-leasing-finance-ltd,True,True,
https://fyers.co.in/stocks/nilkanth-engineering-ltd,True,True,
https://fyers.co.in/stocks/mehta-securities-ltd,True,True,
https://fyers.co.in/stocks/cubical-financial-services-ltd,True,True,
https://fyers.co.in/stocks/winro-commercial-india-ltd,True,True,
https://fyers.co.in/stocks/aastamangalam-finance-ltd,True,True,
https://fyers.co.in/stocks/vega-jewellers-ltd,True,True,
https://fyers.co.in/stocks/wardwizard-healthcare-ltd,True,True,
https://fyers.co.in/stocks/mansi-finance-chennai-ltd,True,True,
https://fyers.co.in/stocks/ventura-guaranty-ltd,True,True,
https://fyers.co.in/stocks/mrugesh-trading-ltd,True,True,
https://fyers.co.in/stocks/dhansafal-finserve-ltd,True,True,
https://fyers.co.in/stocks/royal-india-corporation-ltd,True,True,
https://fyers.co.in/stocks/eyantra-ventures-ltd,True,True,
https://fyers.co.in/stocks/kajal-synthetics-silk-mills-ltd,True,True,
https://fyers.co.in/stocks/vishvprabha-ventures-ltd,True,True,
https://fyers.co.in/stocks/aviva-industries-ltd,True,True,
https://fyers.co.in/stocks/rose-merc-ltd,True,True,
https://fyers.co.in/stocks/terraform-realstate-ltd,True,True,
https://fyers.co.in/stocks/nidhi-granites-ltd,True,True,
https://fyers.co.in/stocks/m-lakhamsi-industries-ltd,True,True,
https://fyers.co.in/stocks/classic-electricals-ltd,True,True,
https://fyers.co.in/stocks/bentley-commercial-enterprises-ltd,True,True,
https://fyers.co.in/stocks/avance-technologies-ltd,True,True,
https://fyers.co.in/stocks/spv-global-trading-ltd,True,True,
https://fyers.co.in/stocks/nivi-trading-ltd,True,True,
https://fyers.co.in/stocks/avon-mercantile-ltd,True,True,
https://fyers.co.in/stocks/vama-industries-ltd,True,True,
https://fyers.co.in/stocks/bajaj-global-ltd,True,True,
https://fyers.co.in/stocks/veritas-india-ltd,True,True,
https://fyers.co.in/stocks/prism-medico-and-pharmacy-ltd,True,True,
https://fyers.co.in/stocks/n2n-technologies-ltd,False,False,404 Client Error: Not Found for url: https://fyers.co.in/stocks/n2n-technologies-ltd
https://fyers.co.in/stocks/shantai-industries-ltd,False,False,404 Client Error: Not Found for url: https://fyers.co.in/stocks/shantai-industries-ltd
https://fyers.co.in/stocks/tashi-india-ltd,True,True,
https://fyers.co.in/stocks/autoriders-international-ltd,True,True,
https://fyers.co.in/stocks/speedage-commercials-ltd,True,True,
https://fyers.co.in/stocks/sheraton-properties-finance,True,True,
https://fyers.co.in/stocks/i-power-solutions-india-ltd,False,False,404 Client Error: Not Found for url: https://fyers.co.in/stocks/i-power-solutions-india-ltd
https://fyers.co.in/stocks/ashirwad-capital-ltd,True,True,
https://fyers.co.in/stocks/mansoon-trading-co-ltd,True,True,
